image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,BS140BCD,12.50%
test001_2.jpg,B2407UZO,B2407UZ0,12.50%
test001_3.jpg,B2842PKM,B2842PKM,0.00%
test002_1.jpg,BG1352AE,BG1352AE,0.00%
test003_1.jpg,B2634UZF,B2634UZF,0.00%
test003_2.jpg,B1995JVK,B1995JVK,0.00%
test004_1.jpg,B9062VEH,B-9062YEH,25.00%
test005_1.jpg,DD3798KM,DD2798KM,12.50%
test006_1.jpg,T1329KC,T1329KC,0.00%
test007_1.jpg,AD8865EE,AD8865EE,0.00%
test008_1.jpg,DK1157AAB,DK1157AAB,0.00%
test008_2.jpg,AA1997FE,AA1997FE,0.00%
test009_1.jpg,H8518NA,H8518NA,0.00%
test009_2.jpg,K1649GB,K1649GB,0.00%
test010_1.jpg,B9416PCN,B9416PCN,0.00%
test010_2.jpg,H1147UY,H1147UY,0.00%
test011_1.jpg,H1691IL,H1691IL,0.00%
test011_2.jpg,B9374RI,B-9374RI,14.29%
test011_3.jpg,D1204AIG,D1204AIG,0.00%
test012_1.jpg,E1887BA,E1887BA,0.00%
test013_1.jpg,B1439UZP,B1439UZP,0.00%
test013_2.jpg,B1128WOS,"B1,128W0S",25.00%
test014_1.jpg,B1388DFX,B1388DFX,0.00%
test015_1.jpg,AD1798BT,AD1798BT,0.00%
test016_1.jpg,E1517DQ,E1517DD,14.29%
test017_1.jpg,AD8982FS,AD8982FS,0.00%
test018_1.jpg,L7603UA,L-7603-UA,28.57%
test019_1.jpg,AD7HS,AD7HS,0.00%
test019_2.jpg,B1959WYK,B1959WYK,0.00%
test020_1.jpg,AD8634EK,AG8634EK,12.50%
test020_2.jpg,AD1328PY,AD1328PY,0.00%
test021_1.jpg,BA1709DW,1709DW,25.00%
test021_2.jpg,W1236VZ,W1236VZ,0.00%
test022_1.jpg,W1825OZ,W1825OZ,0.00%
test022_2.jpg,L1202UE,L-1202JE,28.57%
test022_3.jpg,L3823ID,L3823IO,14.29%
test023_1.jpg,B1730JLO,B1730JL0,12.50%
test024_1.jpg,B2964TRU,B2964TRU,0.00%
test025_1.jpg,S5585LP,S5585LP,0.00%
test025_2.jpg,L2858RR,L2858RR,0.00%
test025_3.jpg,W1185ZO,W1185Z0,14.29%
test025_4.jpg,9840VU,9840VU,0.00%
test026_1.jpg,N9652DF,N9652DF,0.00%
test026_2.jpg,L3836ZX,L3836ZX,0.00%
test027_1.jpg,N1905IG,N1905IG,0.00%
test027_2.jpg,B1109CLR,B1109CLR,0.00%
test027_3.jpg,L1840AA,L1840AA,0.00%
test028_1.jpg,L1438EO,1438E0,28.57%
test028_2.jpg,L1436AAA,L1436AAA,0.00%
test029_1.jpg,W1516WR,W1516WJF,28.57%
